Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
389,5.68,5.676,3.89,2.368372,1.612287,2.418325,2.368483,1.610566,2.431774
390,5.69,5.686,3.9,2.367066,1.624298,2.395277,2.367908,1.622018,2.408765
391,5.7,5.696,3.91,2.368578,1.637728,2.372656,2.368212,1.634152,2.385868
392,5.71,5.706,3.92,2.369069,1.650812,2.34956,2.369202,1.646309,2.362186
393,5.72,5.716,3.93,2.371117,1.661777,2.323631,2.369185,1.657487,2.336646
394,5.73,5.726,3.94,2.37069,1.669423,2.295738,2.370509,1.667008,2.309143
395,5.74,5.736,3.95,2.369771,1.675535,2.267731,2.370662,1.674161,2.281159
396,5.75,5.746,3.96,2.369039,1.680782,2.239404,2.369782,1.680042,2.252927
397,5.76,5.756,3.97,2.369241,1.685348,2.211529,2.369001,1.686397,2.225576
398,5.77,5.766,3.98,2.369597,1.691259,2.185711,2.368153,1.692694,2.199682
399,5.78,5.776,3.99,2.370865,1.699027,2.162036,2.368463,1.699111,2.175504
400,5.79,5.786,4,2.37421,1.70771,2.138872,2.369745,1.706455,2.152546
401,5.8,5.796,4.01,2.376236,1.717165,2.116951,2.372169,1.714836,2.130416
402,5.81,5.806,4.02,2.380568,1.7278,2.095905,2.377437,1.725037,2.10903
403,5.82,5.816,4.03,2.38507,1.738858,2.074169,2.382026,1.735476,2.087204
404,5.83,5.826,4.04,2.389448,1.747801,2.04984,2.385919,1.745176,2.062452
405,5.84,5.836,4.05,2.393373,1.753504,2.022747,2.392085,1.753143,2.03584
406,5.85,5.846,4.06,2.399711,1.756686,1.994969,2.39814,1.75761,2.008862
407,5.86,5.856,4.07,2.40393,1.75749,1.968487,2.403029,1.759972,1.981526
408,5.87,5.866,4.08,2.409275,1.758854,1.941635,2.40865,1.76265,1.954752
409,5.88,5.876,4.09,2.414144,1.762124,1.916451,2.412755,1.766291,1.929682
410,5.89,5.886,4.1,2.419657,1.767564,1.892954,2.417021,1.771117,1.905977
